NS.1480.001.IDT_i7_27---IDT_i5_27.741,Redwoods_2010_Centre_741
NS.1480.001.IDT_i7_28---IDT_i5_28.780,SlateCreek_2008__780
NS.1480.001.IDT_i7_29---IDT_i5_29.202,ONeilCreek_2014_North_202
NS.1480.001.IDT_i7_3---IDT_i5_3.727,RainbowPool_2009__727
NS.1480.001.IDT_i7_30---IDT_i5_30.211,ONeilCreek_2016_North_211
NS.1480.001.IDT_i7_31---IDT_i5_31.221,DeepCreek_2011_North_221
NS.1480.001.IDT_i7_32---IDT_i5_32.229,DeepCreek_2015_North_229
NS.1480.001.IDT_i7_33---IDT_i5_33.237,DeepCreek_2016_North_237
NS.1480.001.IDT_i7_34---IDT_i5_34.246,LittleJameson_2010_Centre_246
NS.1480.001.IDT_i7_35---IDT_i5_35.733,Redwoods_2010_Centre_733
NS.1480.001.IDT_i7_36---IDT_i5_36.781,SlateCreek_2008__781
NS.1480.001.IDT_i7_37---IDT_i5_37.357,DeerCreek_2012_North_357
NS.1480.001.IDT_i7_38---IDT_i5_38.369,DeerCreek_2015_North_369
NS.1480.001.IDT_i7_39---IDT_i5_39.742,Redwoods_2010_Centre_742
NS.1480.001.IDT_i7_4---IDT_i5_4.776,SalmonRiver9_2009__776
NS.1480.001.IDT_i7_40---IDT_i5_40.783,SlateCreek_2008__783
NS.1480.001.IDT_i7_41---IDT_i5_41.203,ONeilCreek_2014_North_203
NS.1480.001.IDT_i7_42---IDT_i5_42.212,ONeilCreek_2016_North_212
NS.1480.001.IDT_i7_43---IDT_i5_43.222,DeepCreek_2011_North_222
NS.1480.001.IDT_i7_44---IDT_i5_44.230,DeepCreek_2015_North_230
NS.1480.001.IDT_i7_45---IDT_i5_45.238,DeepCreek_2016_North_238
NS.1480.001.IDT_i7_46---IDT_i5_46.247,LittleJameson_2010_Centre_247
NS.1480.001.IDT_i7_47---IDT_i5_47.754,RockCreek_2010_North_754
NS.1480.001.IDT_i7_48---IDT_i5_48.782,SlateCreek_2008__782
NS.1480.001.IDT_i7_49---IDT_i5_49.358,DeerCreek_2012_North_358
NS.1480.001.IDT_i7_5---IDT_i5_5.200,ONeilCreek_2014_North_200
NS.1480.001.IDT_i7_50---IDT_i5_50.370,DeerCreek_2015_North_370
NS.1480.001.IDT_i7_51---IDT_i5_51.743,Redwoods_2010_Centre_743
NS.1480.001.IDT_i7_52---IDT_i5_52.196,ONeilCreek_2013_North_196
NS.1480.001.IDT_i7_53---IDT_i5_53.204,ONeilCreek_2015_North_204
NS.1480.001.IDT_i7_54---IDT_i5_54.213,ONeilCreek_2016_North_213
NS.1480.001.IDT_i7_55---IDT_i5_55.223,DeepCreek_2011_North_223
NS.1480.001.IDT_i7_56---IDT_i5_56.231,DeepCreek_2016_North_231
NS.1480.001.IDT_i7_57---IDT_i5_57.239,DeepCreek_2016_North_239
NS.1480.001.IDT_i7_58---IDT_i5_58.249,LittleJameson_2012_Centre_249
NS.1480.001.IDT_i7_59---IDT_i5_59.770,SalmonRiver3_2009__770
NS.1480.001.IDT_i7_6---IDT_i5_6.209,ONeilCreek_2015_North_209
NS.1480.001.IDT_i7_60---IDT_i5_60.206,ONeilCreek_2015_North_206
NS.1480.001.IDT_i7_61---IDT_i5_61.359,DeerCreek_2012_North_359
NS.1480.001.IDT_i7_62---IDT_i5_62.371,DeerCreek_2015_North_371
NS.1480.001.IDT_i7_63---IDT_i5_63.769,SalmonRiver2_2009__769
NS.1480.001.IDT_i7_64---IDT_i5_64.197,ONeilCreek_2013_North_197
NS.1480.001.IDT_i7_65---IDT_i5_65.205,ONeilCreek_2015_North_205
NS.1480.001.IDT_i7_66---IDT_i5_66.214,ONeilCreek_2016_North_214
NS.1480.001.IDT_i7_67---IDT_i5_67.224,DeepCreek_2011_North_224
NS.1480.001.IDT_i7_68---IDT_i5_68.232,DeepCreek_2016_North_232
NS.1480.001.IDT_i7_69---IDT_i5_69.240,LittleJameson_2010_Centre_240
NS.1480.001.IDT_i7_7---IDT_i5_7.218,ONeilCreek_2016_North_218
NS.1480.001.IDT_i7_70---IDT_i5_70.253,LittleJameson_2012_Centre_253
NS.1480.001.IDT_i7_71---IDT_i5_71.771,SalmonRiver4_2009__771
NS.1480.001.IDT_i7_72---IDT_i5_72.217,ONeilCreek_2016_North_217
NS.1480.001.IDT_i7_73---IDT_i5_73.362,DeerCreek_2014_North_362
NS.1480.001.IDT_i7_75---IDT_i5_75.774,SalmonRiver7_2009__774
NS.1480.001.IDT_i7_76---IDT_i5_76.198,ONeilCreek_2013_North_198
NS.1480.001.IDT_i7_77---IDT_i5_77.207,ONeilCreek_2015_North_207
NS.1480.001.IDT_i7_78---IDT_i5_78.215,ONeilCreek_2016_North_215
NS.1480.001.IDT_i7_79---IDT_i5_79.225,DeepCreek_2014_North_225
NS.1480.001.IDT_i7_8---IDT_i5_8.227,DeepCreek_2015_North_227
NS.1480.001.IDT_i7_80---IDT_i5_80.233,DeepCreek_2016_North_233
NS.1480.001.IDT_i7_81---IDT_i5_81.242,LittleJameson_2010_Centre_242
NS.1480.001.IDT_i7_82---IDT_i5_82.254,LittleJameson_2012_Centre_254
NS.1480.001.IDT_i7_83---IDT_i5_83.772,SalmonRiver5_2009__772
NS.1480.001.IDT_i7_84---IDT_i5_84.220,ONeilCreek_2016_North_220
NS.1480.001.IDT_i7_85---IDT_i5_85.363,DeerCreek_2014_North_363
NS.1480.001.IDT_i7_87---IDT_i5_87.775,SalmonRiver8_2009__775
NS.1480.001.IDT_i7_88---IDT_i5_88.199,ONeilCreek_2014_North_199
NS.1480.001.IDT_i7_89---IDT_i5_89.208,ONeilCreek_2015_North_208
NS.1480.001.IDT_i7_9---IDT_i5_9.235,DeepCreek_2016_North_235
NS.1480.001.IDT_i7_90---IDT_i5_90.216,ONeilCreek_2016_North_216
NS.1480.001.IDT_i7_91---IDT_i5_91.226,DeepCreek_2015_North_226
NS.1480.001.IDT_i7_92---IDT_i5_92.234,DeepCreek_2016_North_234
NS.1480.001.IDT_i7_93---IDT_i5_93.243,LittleJameson_2010_Centre_243
NS.1480.001.IDT_i7_94---IDT_i5_94.256,LittleJameson_2013_Centre_256
NS.1480.001.IDT_i7_95---IDT_i5_95.773,SalmonRiver6_2009__773
NS.1480.001.IDT_i7_96---IDT_i5_96.241,LittleJameson_2010_Centre_241
NS.1480.001.IDT_i7_97---IDT_i5_97.55,WFMojave_2014_South_55
NS.1480.001.IDT_i7_98---IDT_i5_98.99,NFMFTule_2014_Centre_99
NS.1480.001.IDT_i7_99---IDT_i5_99.148,RockCreek_2010_North_148
NS.1481.002.IDT_i7_1---IDT_i5_1.162,RockCreek_2014_North_162
NS.1481.002.IDT_i7_10---IDT_i5_10.48,WFMojave_2014_South_48
NS.1481.002.IDT_i7_100---IDT_i5_100.647,NorthFeatherChipsCreek_2009__647
NS.1481.002.IDT_i7_101---IDT_i5_101.724,ParadiseCreek_2010__724
NS.1481.002.IDT_i7_102---IDT_i5_102.504,DuncanCreek_2009__504
NS.1481.002.IDT_i7_103---IDT_i5_103.543,HoneyCreek_2007__543
NS.1481.002.IDT_i7_104---IDT_i5_104.523,HauserCreek_2010__523
NS.1481.002.IDT_i7_105---IDT_i5_105.549,KitchenCreek_2010__549
NS.1481.002.IDT_i7_106---IDT_i5_106.581,LittleNorthForkMiddleForkFeather_2010__581
NS.1481.002.IDT_i7_107---IDT_i5_107.622,NFStanislaus_2010__622
NS.1481.002.IDT_i7_108---IDT_i5_108.646,NorthFeatherChipsCreek_2009__646
NS.1481.002.IDT_i7_109---IDT_i5_109.480,CreektoRubicon_2009__480
NS.1481.002.IDT_i7_11---IDT_i5_11.59,WFMojave_2015_South_59
NS.1481.002.IDT_i7_110---IDT_i5_110.545,KitchenCreek_2010__545
NS.1481.002.IDT_i7_111---IDT_i5_111.616,MillCreek_2010_South_616
