V1 025 AlexNew AlexOld ATQ AXE BARD BY CR DEN DLG DQG EUR FOS GEN GF HAR HAZ IG IMN Iq Kik KL KUQ LAJ LON MAT MER MIL MNT PC PEA PET PHE QHI SAG SAM SVN SVO SW YAM YED ZAC
MAT 3685.97751251279 2349.36000223663 2348.76428906644 364.241535393137 2031.30957067519 399.711378603654 2442.45751980878 2935.56267107988 638.823169314697 3459.01693095391 3461.57781767358 2150.00351284053 2150.00351284053 2532.49225996138 2245.19264418759 2461.74967836415 2367.07707357077 3531.74633160298 13.7271349618599 3424.27331726099 3280.35211541867 1003.80101514647 1410.03437793766 4775.41343461023 3671.8333258726 0 2461.74967836415 394.690571698546 1.80604265918896 983.40373214322 1067.50920584879 3624.60833147573 2461.74967836415 440.237221730872 95.8752057283434 2895.00373486248 2242.08626665568 2242.08626665568 4780.25803264167 1645.73252240322 2881.7019278656 3718.35050045512
MER 4170.61685500875 3664.50639211773 3664.36002886518 2825.12459108347 3458.17178515292 2856.24106297885 3261.94276964746 3550.21580015868 1952.97776110448 4119.64310357892 4121.65382761463 3597.09508922258 3597.09508922258 70.758896314217 3374.1873668141 0 3898.69392774225 4217.00313718415 2450.35571592401 3498.23279987955 3701.1174165014 1489.1509852881 1976.92867587912 6449.82398418572 5453.61363762494 2461.74967836415 0 2103.07053671806 2459.94366565198 1502.92877754636 2150.77871807228 5421.99940221334 0 2275.84410200676 2494.31871147369 5351.68029032436 3591.51763326783 3591.51763326783 6461.02362051955 1839.55722805455 5337.36798978036 5032.258692598
MIL 3823.06310747941 2586.31341152355 2585.77860829874 738.002949074241 2275.5794115926 789.437164124778 2587.73470231389 3067.64878606214 258.987471421407 3618.99917431808 3621.54728553689 2403.98815349955 2403.98815349955 2173.73609774952 2440.44201655365 2103.07053671806 2645.56821007154 3698.19614363985 387.29820276286 3481.90245741099 3392.41827000806 622.165816743727 1373.90268325961 5113.53249462826 4014.42284800742 394.690571698546 2103.07053671806 0 393.021782516374 604.531027115302 1097.97602816512 3968.83063305459 2103.07053671806 555.503342700692 463.939509338313 3272.66906782933 2480.96686075111 2480.96686075111 5119.21107061101 1567.16438362163 3260.25043072529 3992.71447616174
MNT 3685.83219362681 2349.70177364038 2349.10638943408 366.041915482282 2031.67680820357 401.492131419607 2442.30504180571 2935.36788709559 637.297625705519 3458.98043998685 3461.54133641527 2150.43706414816 2150.43706414816 2530.6862540958 2245.29154682058 2459.94366565198 2367.67512739136 3531.74515009974 12.2743114469664 3423.74659012211 3280.07266029397 1002.02732869352 1408.98325661286 4776.46384727501 3672.9073391824 1.80604265918896 2459.94366565198 393.021782516374 0 981.623828207406 1066.64996432028 3625.6944570656 2459.94366565198 439.359846249114 96.4840903925018 2896.80415150824 2242.43379526858 2242.43379526858 4781.31467976907 1644.55774039343 2883.50112108767 3718.96025435119
PC 3884.82065247883 2841.92528147003 2841.50563923555 1339.36003319311 2554.67091613653 1383.11437935334 2700.87126616659 3142.06888159956 463.107202852609 3721.86738204493 3724.33427472609 2693.08850843401 2693.08850843401 1573.39139305785 2636.88293023215 1502.92877754636 2966.10369993656 3809.54951939111 973.557786443941 3428.37893249808 3425.69127851232 27.888715143326 1316.25042564239 5509.4426430247 4428.48897977139 983.40373214322 1502.92877754636 604.531027115302 981.623828207406 0 1193.91274084246 4386.71103542648 1502.92877754636 933.642856122582 1033.19132740061 3875.28172373162 2743.4510081475 2743.4510081475 5516.85369973543 1414.1970437621 3862.51796014746 4278.5025528192
PEA 2739.76572799467 1661.06323028168 1660.69460448775 1301.89460632636 1391.18864651824 1254.37286417325 1522.28416246423 1986.09817369615 1279.01163217057 2552.90927821361 2555.42418283354 1532.49274168096 1532.49274168096 2213.81147222118 1443.43587732936 2150.77871807228 1821.37278623933 2636.9989683971 1055.34143525359 2386.69797473135 2299.7150088241 1220.93985998693 374.936137352027 4393.24571665871 3346.07506484143 1067.50920584879 2150.77871807228 1097.97602816512 1066.64996432028 1193.91274084246 0 3309.83641578136 2150.77871807228 627.33033342115 1005.39401552354 3458.42902359713 1566.91809452862 1566.91809452862 4402.30468317465 641.82091962161 3438.96813523339 3098.31089078772
PET 2472.34531260655 1802.04467233614 1801.9986397377 3441.65110920397 1966.3475902168 3344.35750713187 2372.39979203294 2410.24487945109 4227.47700157268 2214.01433113982 2214.54365520124 1829.88804420164 1829.88804420164 5479.12963678467 2120.24875927088 5421.99940221334 1527.90191751723 2166.87765158978 3625.30579337393 3071.61690646379 2599.67049032616 4414.32929502037 3445.18491053689 1154.70118516875 55.3628155325561 3624.60833147573 5421.99940221334 3968.83063305459 3625.6944570656 4386.71103542648 3309.83641578136 0 5421.99940221334 3467.32284052715 3533.41198822951 2668.24288534514 1855.13766293326 1855.13766293326 1158.30252803907 3604.84475112729 2644.05162901147 1046.35877099591
PHE 4170.61685500875 3664.50639211773 3664.36002886518 2825.12459108347 3458.17178515292 2856.24106297885 3261.94276964746 3550.21580015868 1952.97776110448 4119.64310357892 4121.65382761463 3597.09508922258 3597.09508922258 70.758896314217 3374.1873668141 0 3898.69392774225 4217.00313718415 2450.35571592401 3498.23279987955 3701.1174165014 1489.1509852881 1976.92867587912 6449.82398418572 5453.61363762494 2461.74967836415 0 2103.07053671806 2459.94366565198 1502.92877754636 2150.77871807228 5421.99940221334 0 2275.84410200676 2494.31871147369 5351.68029032436 3591.51763326783 3591.51763326783 6461.02362051955 1839.55722805455 5337.36798978036 5032.258692598
QHI 3290.01996000426 2031.34314514716 2030.8138128008 710.180547994695 1721.8813858883 686.367562119981 2048.87309104464 2535.61150273692 795.093919257038 3076.55975839378 3079.11569227473 1851.8178196701 1851.8178196701 2345.30741867718 1887.11278555506 2275.84410200676 2100.11695079494 3153.67622826158 428.016995552808 2995.28016700931 2871.01929998088 960.338896606938 973.824106392274 4601.3801189394 3510.70520951549 440.237221730872 2275.84410200676 555.503342700692 439.359846249114 933.642856122582 627.33033342115 3467.32284052715 2275.84410200676 0 383.283275161905 3102.66615734624 1926.27068902201 1926.27068902201 4607.94719313615 1217.29375055459 3086.41527376052 3443.05552580091
SAG 3598.45587170523 2254.53150214241 2253.93313070198 352.413386104892 1936.29073777618 363.330104542898 2355.219434748 2849.23318030268 716.350832801085 3369.28415785984 3371.84471582859 2054.56109521066 2054.56109521066 2564.9573578308 2153.2245842589 2494.31871147369 2271.20209763699 3441.35945746229 93.2820341467295 3347.30289399391 3196.07740997655 1055.04962802894 1357.01843530375 4683.48368405018 3580.3882278895 95.8752057283434 2494.31871147369 463.939509338313 96.4840903925018 1033.19132740061 1005.39401552354 3533.41198822951 2494.31871147369 383.283275161905 0 2857.6908634545 2147.21387128939 2147.21387128939 4688.44564320375 1599.59940810915 2843.67116640054 3622.47941271381
SAM 4587.4755281388 3151.42915890372 3150.77955084851 2535.92697300656 2992.88034022808 2497.10753601654 3743.42448661354 4110.06780979295 3472.03225769234 4282.12998302935 4283.93743951469 2964.68343038069 2964.68343038069 5422.25946433951 3368.93395170993 5351.68029032436 2850.00721036542 4288.20807240795 2905.73338365241 4855.85425694275 4454.10284494811 3894.15071088912 3805.66434710721 3532.61301217994 2719.54297637254 2895.00373486248 5351.68029032436 3272.66906782933 2896.80415150824 3875.28172373162 3458.42902359713 2668.24288534514 5351.68029032436 3102.66615734624 2857.6908634545 0 3097.72604542694 3097.72604542694 3524.57403893822 4071.26167214848 26.3996686939608 3546.39855510793
SVN 1631.44639077678 107.518615909249 106.896773097782 2229.04990622835 212.053294026455 2132.50491905723 665.531390074835 1022.01693087111 2719.18595788179 1346.16849986386 1348.56263388456 139.652536387812 139.652536387812 3645.52806059561 304.980016942411 3591.51763326783 347.436753577403 1393.60537010959 2236.74131023046 1759.51072369756 1383.31310545654 2771.13562917734 1623.36059704139 2861.10874475935 1880.6638565949 2242.08626665568 3591.51763326783 2480.96686075111 2242.43379526858 2743.4510081475 1566.91809452862 1855.13766293326 3591.51763326783 1926.27068902201 2147.21387128939 3097.72604542694 0 0 2871.77784987438 1758.05346454623 3072.14705083349 1535.05744067047
