ID_code	V1	V2	V3	V4	V5	Location	Lat	Long	Elevation	Location.description	Notes	Alex.GPS.point	Collector	Avg.Temp	Julyhigh	Julylow	JulyPrecip.mm.	GroupName	Group	QubitPCR.Conc	Ext.Qubit.conc.	Ext.260.280	Ext.260.230	Volume.to.pool.1	Leaf_date	Weight.of.sample..mg.	Numb.leaves	Leaf_weight	Sampling.Notes.y	DOY	Date	Flowering.date	Pop.x	Id	Pop_shift	Lat_shift	Long_shift	LocationName	Ice_time	O.HOM.	E.HOM.	N_SITES	F	INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS	PC1	PC2	PC3	PC4	PC5	PC6	Pop.y	Pop	map_colours_5g	Max_Admix_Group	lon_shift.utm	lat_shift.utm	lon.utm	lat.utm
PopAlexNew_51	0.000515	0.799879	1e-05	0.000236	0.199359	Alex	78.861696	-75.896495	NA	EastDomeLightsoil		NA	CassandraElphinstone	5.5	NA	NA	NA	ELL2	Nunavut	82	88	NA	NA	3.048780488		NA	NA	NA		202	July212017	190	AlexNew	51	Alex	78	-64	AlexandraFiord	7.2	8070	8480.5	11494	-0.13621	PopAlexNew_51	9285	0	74	0.00796984	-0.013418873198452	0.0163641224065295	0.0298864628240812	-0.0945800157991185	-0.0104984952304196	-0.0202287704555114	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1177285.85940034	-295790.332499711
PopAlexNew_68	1e-05	0.821337	1e-05	1e-05	0.178633	Alex	78.846085	-75.775256	NA	GlendaForeland80mmarker		224	CassandraElphinstone	5.5	NA	NA	NA	ELL2	Nunavut	13	196	NA	NA	19.23076923		NA	NA	NA		212	July312017	190	AlexNew	68	Alex	78	-64	AlexandraFiord	7.2	9362	8472.9	11483	0.29536	PopAlexNew_68	9285	0	102	0.0109855	-0.0136401683162432	0.0164774592241689	0.0217037448804636	-0.116202008004722	-0.0117266516042048	-0.0348248402452003	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1178316.51890273	-298701.431396403
PopAlexNew_6	1e-05	0.835139	1e-05	1e-05	0.164831	Alex	78.881814	-75.780761	NA	NearCamp		NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	59.6	204	NA	NA	4.194630872		NA	NA	NA		188	July72017	190	AlexNew	6	Alex	78	-64	AlexandraFiord	7.2	8312	8525.6	11552	-0.07057	PopAlexNew_6	9285	0	27	0.00290792	-0.0136259851693517	0.0199131638311914	0.0341676895032081	-0.0956432770725823	-0.0107128081935778	-0.0174220146050938	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1174547.77692018	-297625.961043286
PopAlexNew_73	1e-05	0.829504	1e-05	1e-05	0.170466	Alex	78.846377	-75.772957	NA			223	CassandraElphinstone	5.5	NA	NA	NA	ELL2	Nunavut	72.8	232	NA	NA	3.434065934		NA	NA	NA		212	July312017	190	AlexNew	73	Alex	78	-64	AlexandraFiord	7.2	8548	8495.6	11511	0.01737	PopAlexNew_73	9285	0	49	0.00527733	-0.0137314895550184	0.0184455082911926	0.0293288539436923	-0.110424890091095	-0.0136846983464647	-0.0269702966078337	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1178273.4976465	-298740.842627989
PopAlexOld_24	1e-05	0.868694	1e-05	1e-05	0.131276	AlexOld	78.836311	-75.817164	NA	SWG		229	CassandraElphinstone	NA	NA	NA	NA	AO	Ancient	17.1	264	NA	NA	14.61988304		NA	NA	NA		212	July312017	NA	AlexOld	24	Alex	78	-64	AlexandraFiordOld	7.2	4034	5007.2	7680	-0.3641	PopAlexOld_24	9285	0	15	0.00161551	-0.0138900640655248	0.0208993517160998	0.0320232379889219	-0.11995309779563	-0.0132443900052418	-0.0276371200431627	PopAlexOld	AlexOld	yellow	V2	-1176003.38904391	-573575.177100613	-1179573.71322565	-298102.0762145
PopAlexOld_30	1.5e-05	0.939686	1e-05	1e-05	0.06028	AlexOld	78.846987	-75.791666	NA	MF		235	CassandraElphinstone	NA	NA	NA	NA	AO	Ancient	13.2	26	NA	NA	18.93939394		NA	NA	NA		212	July312017	NA	AlexOld	30	Alex	78	-64	AlexandraFiordOld	7.2	4795	4714.7	7206	0.03222	PopAlexOld_30	9285	0	656	0.0706516	-0.0125128285920663	0.0188361285375043	0.0352375549777027	-0.116543380065273	-0.0146200464843599	-0.0212755079139013	PopAlexOld	AlexOld	yellow	V2	-1176003.38904391	-573575.177100613	-1178306.14531643	-298339.664077301
PopAlexOld_33	1e-05	0.957806	1e-05	1e-05	0.042164	AlexOld	78.847422	-75.791624	NA	MF/AF		236	CassandraElphinstone	NA	NA	NA	NA	AO	Ancient	20.6	157	NA	NA	12.13592233		NA	NA	NA		212	July312017	NA	AlexOld	33	Alex	78	-64	AlexandraFiordOld	7.2	4791	4700.5	7206	0.03613	PopAlexOld_33	9285	0	627	0.0675283	-0.0124645503443643	0.0196340164960399	0.0381381999041402	-0.111068590990108	-0.00931893878779193	-0.0204496269439848	PopAlexOld	AlexOld	yellow	V2	-1176003.38904391	-573575.177100613	-1178259.68941468	-298328.820816266
PopAlexOld_37	1e-05	0.941422	1e-05	1e-05	0.058548	AlexOld	78.84801	-75.795772	NA	AF		239	CassandraElphinstone	NA	NA	NA	NA	AO	Ancient	26.2	53.2	NA	NA	9.541984733		NA	NA	NA		212	July312017	NA	AlexOld	37	Alex	78	-64	AlexandraFiordOld	7.2	5867	4983.9	7640	0.33248	PopAlexOld_37	9285	0	65	0.00700054	-0.0135806257862824	0.0208373269559724	0.0349676366720469	-0.123936881660758	-0.0100574461893125	-0.0229720477984466	PopAlexOld	AlexOld	yellow	V2	-1176003.38904391	-573575.177100613	-1178218.78317502	-298227.698340331
PopAlexOld_39	1e-05	0.930451	1e-05	1e-05	0.069519	AlexOld	78.847921	-75.791668	NA	AF		237	CassandraElphinstone	NA	NA	NA	NA	AO	Ancient	17.7	29	NA	NA	14.12429379		NA	NA	NA		212	July312017	NA	AlexOld	39	Alex	78	-64	AlexandraFiordOld	7.2	5466	4678.9	7145	0.31917	PopAlexOld_39	9285	0	849	0.0914378	-0.0121065360897165	0.0172340328659938	0.0347391947782536	-0.121363977349445	-0.0147074989927785	-0.0260255630118649	PopAlexOld	AlexOld	yellow	V2	-1176003.38904391	-573575.177100613	-1178206.8786221	-298314.486614364
PopAlexOld_89	1e-05	0.892175	1e-05	1e-05	0.107795	AlexOld	78.847861	-75.794836	NA	AF	SEEDS	238	CassandraElphinstone	NA	NA	NA	NA	AO	Ancient	33	46.4	NA	NA	7.575757576		NA	NA	NA		212	July312017	NA	AlexOld	89	Alex	78	-64	AlexandraFiordOld	7.2	4852	4978	7630	-0.04752	PopAlexOld_89	9285	0	88	0.00947765	-0.013462281473439	0.0183353597459447	0.0344627032788531	-0.114649056144199	-0.0123907553378192	-0.0230844425167293	PopAlexOld	AlexOld	yellow	V2	-1176003.38904391	-573575.177100613	-1178229.74886398	-298250.955107381
