ID_code O.HOM. E.HOM. N_SITES F
PopIq_2 6989 6972.4 9897 0.00568
PopIq_3 7136 7024.2 9965 0.03801
PopIq_9 7056 7168.8 10191 -0.03732
PopKik_11 7129 7146.1 10173 -0.00565
PopKik_13 6862 7139.7 10164 -0.09183
PopKik_16 7160 7147.2 10174 0.00423
PopKik_17 7060 7137.4 10159 -0.02562
PopKik_18 7191 7130.2 10147 0.02015
PopKik_1 6197 7143.6 10168 -0.313
PopKik_20 6941 7134.5 10155 -0.06408
PopKik_2 6898 7124.5 10143 -0.07505
PopKik_3 6787 6881.9 9782 -0.03271
PopKL1_7 10650 10319.2 15563 0.06309
PopKL1_9 10706 10213.3 15406 0.09489
PopKL2_1 10951 10251.8 15466 0.1341
PopKL2_2 8491 10350.7 15617 -0.35314
PopKL3_1 9825 10236.7 15443 -0.07907
PopKL3_7 8517 10331 15584 -0.34533
PopKL4_1 10157 10266.8 15487 -0.02103
PopKL4_4 7689 10314.1 15564 -0.50003
PopKL5_1 10315 10267.4 15490 0.00911
PopKL5_7 10514 10270.3 15494 0.04665
PopKUQ_14 6443 6461.5 9692 -0.00573
PopKUQ_20 6418 6439.6 9652 -0.00672
PopKUQ_26 6260 6458.7 9684 -0.06162
PopKUQ_37 6307 6447.4 9671 -0.04354
PopKUQ_4 6351 6468.3 9696 -0.03633
PopKUQ_9 6423 6445.1 9659 -0.00687
PopLAJ_13 6072 6078 8790 -0.00222
PopLAJ_16 5092 6114.7 8844 -0.37472
PopLAJ_17 6002 6056.3 8760 -0.0201
PopLAJ_19 6001 6080.2 8797 -0.02915
PopLAJ_20 5378 6103.9 8828 -0.26649
PopLAJ_21 4933 6105.2 8831 -0.43003
PopLAJ_23 6070 6095.2 8817 -0.00925
PopLAJ_25 6054 6043 8743 0.00406
PopLAJ_26 6031 6088.5 8804 -0.02118
PopLAJ_5 4547 6105.7 8832 -0.57172
PopLON_11 6883 6767.5 9509 0.04212
PopLON_14 5715 6805.7 9563 -0.39557
PopLON_15 7250 6745.5 9480 0.1845
PopLON_17 7297 6786.6 9537 0.18557
PopLON_19 6520 6760.6 9499 -0.08787
PopLON_23 6794 6799 9553 -0.00182
PopLON_28 6366 6804.2 9563 -0.15883
PopLON_36 6713 6748.3 9481 -0.0129
PopLON_4 6674 6735.6 9467 -0.02255
PopLON_9 6560 6744.8 9474 -0.06769
PopMAT_11 8990 8914.4 12646 0.02027
PopMAT_13 9103 8901.2 12629 0.05415
PopMAT_18 9190 8849.1 12556 0.09195
PopMAT_1 7295 8924.5 12663 -0.43588
PopMAT_2 7304 8930.9 12672 -0.43489
PopMAT_3 7155 8928.9 12667 -0.47454
PopMAT_5 7305 8933.4 12676 -0.43509
PopMAT_7 9200 8879.6 12600 0.08613
PopMAT_8 9259 8891.9 12616 0.09857
PopMIL_11 8715 8694.6 12163 0.00588
PopMIL_14 8629 8715.4 12191 -0.02485
PopMIL_17 8594 8723.7 12201 -0.03731
PopMIL_1 8694 8715 12190 -0.00605
PopMIL_20 8548 8725.1 12202 -0.05093
PopMIL_25 8592 8642.4 12092 -0.0146
PopMIL_2 8623 8676.3 12138 -0.01539
PopMIL_37 8641 8703.2 12171 -0.01793
PopMIL_5 7667 8720.3 12196 -0.30303
PopMIL_6 8482 8736.8 12221 -0.07314
PopMNT_12 7326 9200.7 12766 -0.52582
PopMNT_17 9149 9165.8 12714 -0.00473
PopMNT_18 9055 9148.2 12691 -0.02632
PopMNT_21 9090 9139.3 12683 -0.01391
PopMNT_22 9211 9156.6 12703 0.01534
PopMNT_23 9249 9098.3 12627 0.0427
PopMNT_4 9185 9137.7 12679 0.01336
PopMNT_5 9222 9154.2 12704 0.01909
PopMNT_7 9250 9164.3 12712 0.02416
PopMNT_9 8996 9191.9 12754 -0.05498
PopPC1_2 9049 10948.2 15340 -0.43244
PopPC2_1 11086 10979.2 15379 0.02427
PopPC2_2 11123 10954.8 15345 0.03831
PopPC3_1 11183 11006.1 15422 0.04005
PopPC3_2 11191 10955.7 15345 0.0536
PopPC4_1 9928 10660.2 14921 -0.17183
PopPC4_2 9613 11023.6 15446 -0.31896
PopPC5_1 10880 10985.1 15389 -0.02386
PopPC5_2 10113 10982.4 15388 -0.19734
PopPEA_11 6777 6995.2 10060 -0.0712
PopPEA_18 6654 6987.9 10049 -0.10906
PopPEA_25 6767 7006.8 10080 -0.07802
PopPEA_26 6683 6990.4 10055 -0.10031
PopPEA_27 6616 7005.5 10076 -0.12687
PopPEA_28 6842 6895.9 9912 -0.01787
PopPEA_30 6707 6906.8 9934 -0.066
PopPEA_34 6621 6983.3 10043 -0.11843
PopPEA_36 6765 6966.8 10021 -0.06608
PopPET_1 4597 4883.5 7650 -0.10358
PopPET_2 4686 4849.9 7596 -0.0597
PopPET_3 4825 4871.3 7631 -0.01678
PopPET_4 4670 4833.6 7572 -0.05976
PopPET_5 4791 4875 7637 -0.03043
PopQHI_22 7537 8490.4 12157 -0.26004
PopQHI_24 6251 8489.4 12153 -0.61097
PopQHI_31 8591 8460.9 12112 0.03564
PopQHI_32 8615 8435.3 12076 0.04935
PopQHI_33 8579 8291.1 11865 0.08056
PopQHI_34 7657 8466.7 12120 -0.22164
PopQHI_37 8669 8439.1 12080 0.06316
PopQHI_38 8582 8447.5 12094 0.03687
PopSAG_13 8689 8904.6 12377 -0.06209
PopSAG_14 9026 8930.3 12414 0.02746
PopSAG_16 8813 8917.7 12398 -0.03007
PopSAG_21 8764 8902 12373 -0.03977
PopSAG_23 8789 8901.4 12373 -0.03239
PopSAG_24 8752 8913.6 12391 -0.04648
PopSAG_32 8751 8904.9 12372 -0.04438
PopSAG_38 8747 8823.8 12259 -0.02234
PopSAG_5 8882 8889 12351 -0.00201
PopSAG_9 8695 8866.9 12326 -0.04971
PopSAM_1a 5696 5873.1 8703 -0.06258
PopSAM_1 5216 5869.8 8688 -0.232
PopSAM_2a 5356 5809.5 8612 -0.16184
PopSAM_2 5134 5833.1 8636 -0.24941
PopSAM_3a 5411 5863.1 8692 -0.15982
PopSAM_3 5094 5850.5 8663 -0.26896
PopSAM_4 5153 5888.8 8724 -0.25953
PopSAM_5a 5113 5912 8768 -0.27976
PopSAM_5 5187 5886.6 8716 -0.24725
PopSVN_18 0 0 2051 0
PopSVO_38 0 0 2542 0
PopSW_18 6372 6509.8 9296 -0.04945
PopSW_22 6362 6510.1 9300 -0.05308
PopSW_29 6481 6532.4 9328 -0.01838
PopSW_2 6374 6527.2 9319 -0.05488
PopSW_31 6403 6526.6 9318 -0.04428
PopSW_34 6433 6450.5 9223 -0.00632
PopSW_36 6524 6508.5 9293 0.00555
PopSW_3 6370 6519.9 9311 -0.0537
PopSW_45 6407 6427.9 9172 -0.00762
PopSW_5 4631 6542.2 9344 -0.68214
PopYAM_10 6901 6739.6 9724 0.05407
PopYAM_1 7031 6717.5 9694 0.10532
PopYAM_3 6928 6527.9 9396 0.13951
PopYAM_4 6512 6753.3 9733 -0.08098
PopYAM_5 4969 6821.8 9839 -0.61407
PopYAM_6 6474 6787 9788 -0.1043
PopYAM_7 5382 6781.7 9782 -0.46654
PopYAM_8 6139 6808.8 9817 -0.22264
PopYAM_9 6728 6764.7 9753 -0.01229
PopYED_1a 6496 6645.1 9734 -0.04828
PopYED_1 6394 6638.7 9732 -0.0791
PopYED_2a 6267 6693.7 9812 -0.13685
PopYED_2 6413 6641.1 9727 -0.0739
PopYED_3a 6443 6658.3 9758 -0.06947
PopYED_3 6405 6656.9 9759 -0.08121
PopYED_4a 6463 6671.7 9773 -0.0673
PopYED_4 6606 6594.4 9666 0.00377
PopYED_5a 6496 6639.7 9732 -0.04646
PopYED_5 6247 6674.2 9781 -0.13751
PopZAC_1 6034 6011.9 8913 0.00762
PopZAC_20 6130 6009.1 8913 0.04163
PopZAC_21 4776 6050.4 8975 -0.43576
PopZAC_22 3850 6063.8 8992 -0.75603
PopZAC_23 5996 6050.8 8973 -0.01876
PopZAC_24 4217 6062.9 8991 -0.63042
PopZAC_25 4871 6049.3 8970 -0.40344
PopZAC_26 5162 6061.5 8989 -0.30725
PopZAC_28 6978 6040 8956 0.32168
PopZAC_7 5916 6042.5 8964 -0.04328
