Pop.x.x	V1.x	V2.x	V3.x	V4.x	V5.x	F_MISS.x	N_MISS.x	O.HOM..x	E.HOM..x	N_SITES.x	FIS.x	Lat	Long	Elevation	Avg.Temp.x	Leaf_weight.x	Site	Collector	Date	Count	Pop	Pop_name	Group	Lat.x	Long.x	Ice_time.x	Ice_time2	Clim_distance	tavg	tmin	tmax	prcp	snwd	wfsg	tavglong	tminlong	tmaxlong	prcplong	snwdlong	wfsglong	TajimaAvg	TajimaSD	TajimaVar	SumSitePi	Site_SD_Pi	Site_var_Pi	SumWindPi	Wind_SD_Pi	Wind_var_Pi	Lat_shift	Long_shift	PC1	PC2	PC3	PC4	PC5	PC6	Max_Admix_Group	Admix_Location	map_colours_5g	lon_shift.utm	lat_shift.utm	lon.utm	lat.utm
KL	1e-05	0.0145447	0.3400065	0.0026415	0.6427974	0.0096823	89.9	9781.5	10282.13	15511.4	-0.095076	60.981096	-138.411328	1397.6	9.66	0.9820647774	KluanePlateau	HaydnThomas		10	KL	KluanePlateau	Alaska	60.97172	-138.41549	12	12	50.48716645	11.72359551	4.782608696	18.65393258	16.78651685	NA	205.9782609	12.38022388	4.800059207	19.17582801	10.01008827	0	255.8148148	0.465330259754467	0.980845756733598	0.962058398502304	5273.590529	0.201399263483307	0.0405616633316187	34.610393653	0.00282130419624692	7.95975736776047e-06	57	-136	0.0921379818274215	0.00472079330001963	-0.0586400949526172	-0.0113692129408722	0.015275441705908	0.209697914116173	V5	Alaska	deepskyblue	-2559154.58469106	2650082.15012371	-2137530.29361386	2408869.7077403
KUQ	1e-05	1e-05	1e-05	0.162303166666667	0.837666833333333	0.006533835	60.6666666666667	6367	6453.43333333333	9675.66666666667	-0.0268016666666667	67.798439	-115.231717	NA	NA	NA	KugluktukNunavut	PaulSokoloff	Sept32017	6	KUQ	KugluktukNunavut	Nunavut	67.798439	-115.231717	10.5	10.5	3.987815024	10.11956522	5.666666667	16.06153846	9.989010989	12.22222222	NA	8.905108696	4.381483547	13.29341885	12.22210636	2.162162162	NA	0.0488933858745457	1.0123554806976	1.02486361929848	3246.93067	0.182600055168339	0.0333427801474805	21.353979386	0.00251672916108358	6.33392567024845e-06	66	-121	-0.012941370536859	0.00854439267441705	-0.0436897708825211	0.0238062008475496	0.00573717112437966	-0.0253461357260692	V5	Alaska	deepskyblue	-2267145.16687997	1362238.24839684	-2208719.89351279	1040838.48803076
LAJ	1e-05	0.9341111	1e-05	0.0590909	0.0067781	0.0033064078	30.7	5618	6087.07	8804.6	-0.17208	68.35	18.5	NA	NA	NA	LatnjajaureFieldStation	MathiusMolan	c("2017-07-23", "2017-07-24")	10	LAJ	LatnjajaureFieldStation	Europe	68.35	18.5	10	10	120.6598884	9.189130435	4.550793651	13.46	73	432.4	NA	10.00732484	5.812416357	14.34430168	41.02317881	426.2592593	NA	0.241388089208415	1.05609219722915	1.1153307290483	2729.63607	0.17125794007603	0.0293292820390852	18.051200651	0.00251036769128385	6.3019459454418e-06	69	10	-0.0141515527593616	0.0250527474944731	0.0734891745015925	-0.0469409281073272	-0.0102803487130605	0.028934254513511	V2	Europe	yellow	400529.908414309	-2271517.98780322	755054.582844214	-2256620.27779661
LON	0.0025782	0.8973582	0.004882	0.0951716	1e-05	0.005977392	55.5	6677.2	6769.78	9512.6	-0.033504	78.2232	15.6267	NA	NA	NA	LongyearbyenSvalbard	EstherFrei	July272017	10	LON	LongyearbyenSvalbard	Europe	78.2232	15.6267	13	13	4.694293303	5.901086957	4.395652174	7.876086957	2.391304348	0	NA	5.772553081	4.135300207	7.822774327	6.31209053	0	NA	0.0866054949590567	1.05768785976384	1.11870360869182	2763.608801	0.167793545515131	0.0281546739165383	18.17062286	0.00239470954253546	5.73463379311041e-06	75	10.6	-0.0126026048119877	0.0247792929465475	0.0739760493136287	-0.0441468513805709	-0.0108116523393853	0.0248061319678227	V2	Europe	yellow	301456.390066499	-1610817.97462425	345847.786546329	-1236462.71436928
MAT	1e-05	0.00510366666666667	1e-05	0.0108822222222222	0.983994111111111	0.003302819	30.6666666666667	8311.22222222222	8905.98888888889	12636.1111111111	-0.158814444444444	68.63444	-149.6433	753	NA	0.63730769225	ToolikMoistAcidic	EdRustetter,ErinGleeson,GusShaver	July262017	9	MAT	ToolikMoistAcidic	Alaska	68.63444	-149.6433	12	12	14.00397021	8.933695652	5.095652174	12.48043478	21.53488372	17.94565217	NA	9.268232891	5.411440245	12.78565657	20.94577259	18.41347905	NA	0.0828696124804976	1.00334692104458	1.00670504396964	3744.586356	0.180165132672509	0.0324594750309029	24.782800256	0.00247662943136115	6.13369334028426e-06	74	-160	-0.0123842209984839	0.00362830781547001	-0.0784979004224061	0.000380802196513483	0.0099074189723759	-0.0339973507542535	V5	Alaska	deepskyblue	-598319.254368132	1643868.64100137	-1186440.75985227	2025745.31836257
MIL	0.0006073	0.035725	1e-05	0.0141305	0.9495273	0.0036510495	33.9	8518.5	8705.28	12176.5	-0.053735	65.3975278	-145.9730278	962	NA	0.669130869	12MileMeadow	MichaelMoody	July292017	10	MIL	12MileMeadow	Alaska	65.3975278	-145.9730278	20	NA	18.34658062	12.57934783	9.229347826	16.35326087	22.85869565	0	NA	11.54517766	8.325662719	15.76920474	26.25734116	0	NA	0.0647300596358058	0.997561663595252	0.995129272674926	3486.720365	0.17523014334666	0.0307056031372911	23.050057916	0.00244185178621055	5.96264014581967e-06	65.3975278	-153	-0.0111460196063547	0.00307587955812527	-0.0610594281112193	-0.00785590954173438	-0.00296208448819502	-0.00796044986980294	V5	Alaska	deepskyblue	-1231813.83433964	2417570.77210156	-1518318.60287799	2248715.71808108
MNT	1.03e-05	0.0022607	1e-05	0.0005461	0.9971729	0.0048034456	44.6	8973.3	9155.7	12703.3	-0.051111	68.62361	-149.6103	760	NA	0.624621212	ToolikMoistNon-Acidic	EdRustetter,ErinGleeson,GusShaver	July262017	10	MNT	ToolikMoistNon-Acidic	Alaska	68.62361	-149.6103	20	NA	12.58379437	8.933695652	5.095652174	12.48043478	21.53488372	17.94565217	NA	9.268232891	5.411440245	12.78565657	20.94577259	18.41347905	329.9635036	0.0278528341085773	1.00049387458978	1.00098799309166	3565.439007	0.174087770724183	0.0303065519157156	23.545055285	0.00244293197126816	5.96791661624412e-06	74	-160	-0.0121335584879101	0.00401297100076509	-0.070220193637705	0.00176768652446695	0.00935097434455199	-0.0322137438146155	V5	Alaska	deepskyblue	-598319.254368132	1643868.64100137	-1188222.9364742	2026111.38630257
PC	1e-05	0.0282774444444444	0.114731777777778	0.00227844444444444	0.854702444444444	0.00867587911111111	80.5555555555556	10462.8888888889	10943.9222222222	15330.5555555556	-0.1098	61.2113966666667	-138.284465555556	1710.22222222222	7.16666666666667	1.1772727275	PikaCamp	HaydnThomas		9	PC	PikaCamp	Alaska	61.21287	-138.27715	13	13	43.86270877	11.93478261	5.755434783	18.06630435	21.27173913	NA	347.3913043	12.18388278	5.457757009	18.15917603	17.59363296	NA	305.6034483	-0.0161616513873139	0.964141035208988	0.929567935773859	4424.651104	0.179165525635547	0.0321002855762617	29.018856503	0.00261351651740257	6.83046858673606e-06	58	-142	0.0225100740987099	0.00570619389971726	-0.0698249169129424	-0.0141005523032766	0.0116253725634408	0.157870829328631	V5	Alaska	deepskyblue	-2195766.81542199	2810453.36164662	-2124788.63158772	2382896.48507959
PEA	1.1e-05	0.0501006666666667	1e-05	0.0865451111111111	0.863333111111111	0.00848441	78.7777777777778	6714.66666666667	6970.95555555556	10025.5555555556	-0.08376	69.822253	-122.662478	NA	NA	0.619254175	PearcePoint	PaulSokoloff		9	PEA	PearcePoint	NWT	69.822253	-122.662478	9.5	9.5	70.14230557	8.533333333	5	11.93076923	NA	NA	317.6923077	8.369444444	3.432212389	11.42393993	10.50195313	2.850877193	NA	0.150792633069606	1.0198984398548	1.04019282761826	3081.833252	0.175231327660402	0.0307060181936272	20.210628825	0.00249999367919914	6.24996839603566e-06	69.822253	-122.662478	-0.012330756388744	0.00844209299841188	-0.0466510791630463	0.00263042292732997	0.00914291968751995	-0.0346583402531258	V5	Alaska	deepskyblue	-1864215.11345204	1195081.54577071	-1864215.11345204	1195081.54577071
PET	1e-05	0.9524564	1e-05	0.0475136	1e-05	0.004200322	39	4713.8	4862.66	7617.2	-0.05405	78.683333	16.55	NA	NA	NA	PetuniaSvalbard	EstherFrei	July272017	5	PET	PetuniaSvalbard	Europe	78.683333	16.55	15	15	53.86614051	5.901086957	4.395652174	7.876086957	2.391304348	0	NA	5.772553081	4.135300207	7.822774327	6.31209053	0	NA	0.0950135502345582	1.02064783074225	1.04172199439886	2772.620107	0.180044412185695	0.0324159903592925	18.269638077	0.00254065573190909	6.45493154808254e-06	81	1.5	-0.0137943198529417	0.0227783542662085	0.0676541918408714	-0.0547720896440344	-0.0129650873604418	0.0214707420732032	V2	Europe	yellow	25648.3395709824	-979470.571742752	351346.346300812	-1182335.53934473
