ID_code,Location,Lat,Long,Elevation,Location.description,Notes,Alex.GPS.point,Collector,Avg.Temp,Julyhigh,Julylow,JulyPrecip(mm),GroupName,Group,QubitPCR.Conc,Ext.Qubit.conc.,Ext.260.280,Ext.260.230,Volume.to.pool.1,Leaf_date,Weight.of.sample..mg.,Numb.leaves,Leaf_weight,Sampling.Notes.y,DOY,Date,Flowering.date,Pop,Id,Pop_shift,Lat_shift,Long_shift,LocationName,Ice_time
PopCR_9,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,84,260,,,2.976190476,,,,,,183,July22017,,CR,9,CR,70.4844,-68.5131,ClydeRiver,10.5
PopDEN_1,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,79.4,17,1.85,1.33,3.14861461,2018-02-06,21,15,1.4,,212,July312017,,DEN,1,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_15,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,76,198,,,3.289473684,,,,,,212,July312017,,DEN,1u,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_2,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,75.6,95,1.63,1.07,3.306878307,2018-02-06,22,21,1.047619048,,212,July312017,,DEN,2,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_2u,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,38.2,280,,,6.544502618,,,,,,212,July312017,,DEN,2u,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_3,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,69,25.4,1.81,1.22,3.623188406,2018-02-06,21,22,0.954545455,,212,July312017,,DEN,3,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_3u,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,53.4,296,,,4.68164794,,,,,,212,July312017,,DEN,3u,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_4,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,64.4,55.8,1.61,0.89,3.881987578,2018-02-06,21,21,1,,212,July312017,,DEN,4,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_4u,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,63,236,,,3.968253968,,,,,,212,July312017,,DEN,4u,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_5,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,71.2,105,1.55,0.83,3.511235955,2018-02-06,24,33,0.727272727,,212,July312017,,DEN,5,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDEN_55,Denali,63.0769167,-146.2230278,1022,Coll#1193,,,MichaelMoody,7,,,,AK2,Alaska,77.8,284,,,3.213367609,,,,,,212,July312017,,DEN,5u,DEN,63.0769167,-146.2230278,DenaliAlaska,12.5
PopDLG_10,Lyngmarksfjeld,69.2703,-53.5635,390,,,,PerMolgaard,6,,,,GREEN,Greenland,60,204,,,4.166666667,,,,,,180,2017-06-29,175,DLG,10,DLG,72,-58,DiskoLyngmarksfjeldGreenland,11.5
PopDLG_11,Lyngmarksfjeld,69.2703,-53.5635,390,,,,PerMolgaard,6,,,,GREEN,Greenland,61.2,222,,,4.08496732,,,,,,180,2017-06-29,175,DLG,11,DLG,72,-58,DiskoLyngmarksfjeldGreenland,11.5
